Front,Back,Tags
The `Request` object can be autowired directly into a service constructor. True or false?,"False<br><br>The Request is request-scoped and created per HTTP call, so it is not an autowireable service. Inject RequestStack and call getCurrentRequest().",controllers
What must a controller ultimately produce?,"A Response object (or a value converted to one by a kernel.view listener)<br><br>If a controller returns a non-Response, the kernel fires ViewEvent; if no listener produces a Response a LogicException is thrown.",controllers
When does a StreamedResponse produce its body?,"During send(), by invoking its callback<br><br>The callback runs at send time and streams output; you cannot change headers once streaming has begun.",controllers
Which response class best serves a resumable (range-request) file download?,BinaryFileResponse<br><br>BinaryFileResponse supports HTTP range requests and X-Sendfile/X-Accel offloading for efficient downloads.,controllers
"An action does `return ['id' => 1, 'name' => 'Ada'];` expecting Symfony to auto-serialize it to JSON, but the request fails. Why?","Symfony does not auto-serialize arrays by default; with no kernel.view listener the kernel throws a LogicException<br><br>A non-Response return fires ViewEvent; without a listener that builds a Response, the kernel throws &#x27;The controller must return a Response&#x27;. Return $this-&gt;json($data) explicitly.",controllers
"Inside a StreamedResponse callback, code echoes rows and then calls `$response->headers->set('Content-Type', 'text/csv')`. What is wrong?","Headers cannot be changed after output has started; set Content-Type before returning the response<br><br>The callback runs at send time; once bytes are flushed the headers are already sent, so header changes are ineffective. Set headers on the StreamedResponse before returning it from the action.",controllers
You already hold a valid JSON string. Which avoids double-encoding it in a JsonResponse?,JsonResponse::fromJsonString($json)<br><br>new JsonResponse($json) / $this-&gt;json($json) would JSON-encode the string again (double-encoding). fromJsonString() sets the body verbatim and the application/json Content-Type.,controllers
Where does a controller read incoming cookies from?,$request->cookies<br><br>The cookies ParameterBag wraps $_COOKIE; responses set cookies via $response-&gt;headers-&gt;setCookie().,controllers
A cookie sent with SameSite=None also requires which attribute?,Secure=true<br><br>Modern browsers reject SameSite=None cookies unless they are marked Secure (HTTPS-only).,controllers
Why might clearCookie('token') fail to delete the cookie?,The path/domain do not match those used when the cookie was set<br><br>Deletion sends an expired Set-Cookie scoped by path/domain; a mismatch targets a different cookie and leaves the original intact.,controllers
"`Cookie::create('t','v')->withSameSite(Cookie::SAMESITE_NONE)` is set without calling `withSecure(true)`. What is the effect in modern browsers?",Browsers reject the cookie because SameSite=None requires Secure<br><br>SameSite=None mandates the Secure attribute; without it the browser drops the cookie. Chain -&gt;withSecure(true) so it is sent only over HTTPS.,controllers
"In Symfony's Cookie value object, `httpOnly` defaults to true. True or false?","True<br><br>Cookie defaults are security-first: httpOnly=true (hidden from JS, mitigating XSS token theft) and sameSite=&#x27;lax&#x27;. JS-readable cookies must opt out explicitly with withHttpOnly(false).",controllers
"An action sets a `theme` cookie on the response, then in the same action reads `$request->cookies->get('theme')` and gets the old value. Why?",A cookie set on the response is only sent to the browser and readable on subsequent requests<br><br>Response cookies go out as Set-Cookie headers; the request&#x27;s cookies bag reflects what the browser already sent. A newly set cookie is only visible on the next request.,controllers
What is the recommended way for a service to access the session?,Inject RequestStack and call getSession()<br><br>The session is request-scoped; RequestStack::getSession() is the stable entry point in services.,controllers
When does a lazy Symfony session actually start (session_start + Set-Cookie)?,"Only when the session is first read or written<br><br>Lazy sessions avoid emitting a session cookie for requests that never touch the session, preserving cacheability.",controllers
Which method regenerates the session id after login to prevent session fixation?,migrate()<br><br>migrate() issues a new session id while keeping data; invalidate() also wipes data. Symfony authenticators call migrate() on login.,controllers
What is a caching side effect of touching the session on a public page?,"A Set-Cookie header makes the response uncacheable by shared proxies<br><br>Shared caches must not store responses carrying a per-user Set-Cookie, so touching the session prevents shared caching.",controllers
"A console command injects RequestStack and calls `getSession()`, which throws SessionNotFoundException. What is the cause and fix?",There is no current request in the CLI; guard with getCurrentRequest() and hasSession() before reading<br><br>getSession() throws SessionNotFoundException (it does not return null) when called outside a request or on a request with no session. Guard the request first: check getCurrentRequest() and hasSession().,controllers
Why is injecting `SessionInterface` directly into a service constructor discouraged in Symfony 8?,"The session is request-scoped; inject RequestStack and call getSession() so it resolves per request<br><br>Directly autowiring the request-scoped session into a long-lived service is discouraged/removed; RequestStack::getSession() is the stable entry point. You can still type-hint SessionInterface on a controller action (resolved by SessionValueResolver, priority 120).",controllers
Merely type-hinting SessionInterface on an action starts the session. True or false?,"False<br><br>Sessions are lazy: SessionValueResolver injects the session object, but session_start() and the Set-Cookie header only fire on the first read or write. Merely receiving the session does not start it.",controllers
What happens the first time you read a flash message (get/all or app.flashes)?,It is returned and removed (consumed)<br><br>Reading consumes flashes; use peek()/peekAll() to read without removing them.,controllers
"`$this->addFlash('notice', 'Saved')` is shorthand for which call?","getSession()->getFlashBag()->add('notice', 'Saved')<br><br>addFlash() is an AbstractController convenience over the session flash bag.",controllers
Why are flash messages typically paired with a redirect?,"They display on the next (GET) request, matching the Post/Redirect/Get pattern<br><br>Flashes are built to survive exactly one redirect and be shown on the following request, then discarded.",controllers
"A controller reads `app.session.flashbag.get('success')` for logging, then the Twig template shows no flash. What happened?","get() consumed (drained) the messages, so nothing remains for Twig; use peek() to read without consuming<br><br>get()/all() consume the flash bag. Reading in the controller drains the messages before Twig can show them. Use peek()/peekAll() when you must read without removing.",controllers
Which method reads flash messages WITHOUT consuming them?,peek() / peekAll()<br><br>peek()/peekAll() return messages while leaving them in the bag. get()/all() both return and remove. There are no read()/keep() methods on FlashBag.,controllers
"Which Twig loop renders all flash types, consuming them once?","{% for label, messages in app.flashes %}{% for m in messages %}{{ m }}{% endfor %}{% endfor %}<br><br>app.flashes yields a map of type =&gt; messages; iterating it calls all() under the hood, which consumes the bag so each message shows exactly once.",controllers
What is the default HTTP status code of redirectToRoute()?,302<br><br>RedirectResponse defaults to 302 Found; pass a status argument to change it.,controllers
Which redirect status codes preserve the original HTTP method and body?,307 and 308<br><br>307/308 must not change the request method; 303 always forces GET and 301/302 may downgrade to GET.,controllers
What is the difference between redirect() and redirectToRoute()?,redirect() takes a URL; redirectToRoute() takes a route name and parameters<br><br>redirect() is URL-based; redirectToRoute() builds the URL from the router. Both return a RedirectResponse (default 302).,controllers
"After creating a resource in a POST action, you want the browser to issue a GET to the show page. Which call is correct?","return $this->redirectToRoute('resource_show', ['id' => $id], 303);<br><br>303 See Other forces the follow-up request to GET, the strict form of Post/Redirect/Get. 307 would preserve POST; forward() is internal (no URL change); redirect() takes a URL, not a route name + params.",controllers
A checkout POST persists an order and redirects to the confirmation page to avoid duplicate submissions on refresh. Which status best fits?,"302 (or the stricter 303) — a temporary, non-cached redirect for PRG<br><br>PRG needs a temporary redirect that ends on a GET. 302 (default) or 303 are correct; 301/308 are cached (wrong and hard to undo), and 307 would replay the POST.",controllers
Why is accidentally using 301 (or 308) for a temporary redirect dangerous?,"301/308 are cached by browsers, so the redirect sticks and is hard to undo<br><br>301 and 308 signal a permanent move and are cached by browsers; if used by mistake the client keeps redirecting even after you fix the server. Use 302/303 for temporary redirects.",controllers
`redirect()` accepts a route name as its first argument. True or false?,"False<br><br>redirect() takes a URL (string). To redirect by route name (plus params), use redirectToRoute(), which builds the URL via the router.",controllers
What does AbstractController::forward() do?,"Runs another controller in a sub-request and returns its Response, without a new client request<br><br>forward() dispatches a sub-request through the kernel; the browser URL does not change and no 3xx is sent.",controllers
"During a forwarded sub-request, what does Request::isMainRequest() return?","false<br><br>The sub-request is dispatched with HttpKernelInterface::SUB_REQUEST, so isMainRequest() is false and some listeners (e.g. the firewall) skip.",controllers
"After a forward(), what does the user's address bar show?","The original URL, unchanged<br><br>Forwarding is server-internal within the same request, so no new client navigation occurs.",controllers
How does `forward()` pass a `month` value so the target action can receive it as an `int $month` argument?,"$this->forward(ReportController::class.'::monthly', ['month' => 3]); — passed via the sub-request attributes<br><br>The second argument to forward() becomes the sub-request&#x27;s attributes (the $path array), which the argument resolver then maps to the target&#x27;s named parameters — not through query.",controllers
Two controllers need the same 'latest news' logic. Which reuse approach is usually preferable to forwarding?,Extract the logic into a shared service and inject it into both controllers<br><br>Forwarding runs a full kernel pass and couples controllers. A shared service reuses just the logic without routing/events/resolver overhead. Forward when you need another controller&#x27;s whole Response embedded.,controllers
"Which constant does forward() pass to HttpKernel::handle(), and what is a consequence for the security firewall?","HttpKernelInterface::SUB_REQUEST — the firewall does not re-authenticate (isMainRequest() is false)<br><br>Sub-requests are dispatched with SUB_REQUEST (the old MASTER_REQUEST constant was removed; MAIN_REQUEST is used for the main request). Because isMainRequest() is false, listeners like the firewall skip re-authentication.",controllers
How do you correctly produce a 404 from a controller?,throw $this->createNotFoundException()<br><br>createNotFoundException() returns a NotFoundHttpException you must throw; the kernel then renders the error page.,controllers
A controller throws a plain \RuntimeException. What status code results?,500<br><br>Only exceptions implementing HttpExceptionInterface set a specific status; any other exception becomes a 500.,controllers
Where do you place a custom production 404 template?,templates/bundles/TwigBundle/Exception/error404.html.twig<br><br>The Twig error renderer looks up per-status templates in that path in the prod environment.,controllers
Which kernel event lets a listener turn an exception into a Response?,kernel.exception (ExceptionEvent)<br><br>ExceptionEvent listeners can call setResponse(); otherwise the error controller renders the page.,controllers
"`$this->createNotFoundException('Missing');` is written on its own line, then the action continues and fatals with 'member function on null'. Why?","createNotFoundException() only builds and returns the exception; without throw the action keeps running with the null entity<br><br>The helper is a factory: it returns a NotFoundHttpException and does not abort. You must `throw` it. Written alone, the exception is created, discarded, and execution continues on the null value.",controllers
Which one-liner raises a 404 when a repository lookup returns null?,$article = $repo->findOneBySlug($slug) ?? throw $this->createNotFoundException();<br><br>The throw expression (PHP 8) combines with `??` so a null lookup throws the 404. Without `throw` the exception is merely assigned/discarded; `?:` and `abort()` are wrong (abort() is not a Symfony helper).,controllers
createNotFoundException() aborts the action as soon as it is called. True or false?,False<br><br>It only returns a NotFoundHttpException object; nothing happens until you `throw` it. Treating it as self-aborting is the classic trap.,controllers
An API must return problem+json error bodies for every HttpException. What is the cleanest app-wide approach?,"A kernel.exception listener (or a custom framework.error_controller) that maps exceptions to a JSON Response<br><br>A single kernel.exception listener calling setResponse(), or a custom error_controller, centralises error rendering with content negotiation — far cleaner than per-action try/catch or per-status Twig templates.",controllers
Which value should you trust to determine an uploaded file's real type?,getMimeType() (content-detected by the guesser)<br><br>Client-supplied name/MIME are spoofable; getMimeType()/guessExtension() inspect the actual file content.,controllers
What does UploadedFile::move() do when it fails?,Throws a FileException<br><br>move() throws FileException on failure rather than returning a status value.,controllers
"With #[MapUploadedFile] and a failing File constraint, what happens?","An HTTP exception is thrown before the action body runs<br><br>The resolver validates the upload and aborts with an HTTP error when a constraint fails, so the body never executes with invalid input.",controllers
A user uploads a file larger than `post_max_size` and the action crashes on a null `$request->files->get('avatar')`. What is the underlying cause?,"Exceeding post_max_size can yield an empty files bag (no exception), so the get() returns null — always null-check<br><br>When post_max_size is exceeded, PHP may discard the POST data, leaving an empty files bag rather than raising an exception. Guard the result with an instanceof UploadedFile / isValid() check before using it.",controllers
Which signature binds and validates a PDF upload straight into a controller argument?,"#[MapUploadedFile([new File(maxSize: '2M', mimeTypes: ['application/pdf'])])] UploadedFile $doc<br><br>#[MapUploadedFile] (handled by RequestPayloadValueResolver) binds the UploadedFile and applies inline File/Image constraints, throwing an HTTP exception on failure. The other attributes target payloads/query/user.",controllers
Why must uploaded files be stored outside the web root (or with execution disabled)?,"An uploaded .php in a served directory can be executed — remote code execution<br><br>A script (e.g. .php) saved into a publicly served directory could be requested and executed, yielding RCE. Store uploads outside public/ or disable script execution there, and always use a safe generated name.",controllers
Which built-in controller renders a Twig template purely from route config?,"TemplateController<br><br>TemplateController::__invoke() renders the &#x27;template&#x27; default and can set HTTP cache headers, needing no custom class.",controllers
RedirectController configured with permanent: true returns which status?,301 (or 308 when keepRequestMethod is true)<br><br>permanent selects the permanent status code; combined with keepRequestMethod it becomes 308 to preserve the method.,controllers
What status does RedirectController return when the target route/path is empty?,"410 Gone<br><br>An empty target signals the resource is permanently gone, so the controller responds 410.",controllers
Which route config serves `/terms` from a template with a one-day shared cache and no PHP class?,"controller: TemplateController with defaults { template: 'static/terms.html.twig', sharedAge: 86400 }<br><br>TemplateController accepts template plus optional maxAge/sharedAge/private to set HTTP cache headers. sharedAge sets the shared-cache TTL (s-maxage). RedirectController/CacheController are wrong for rendering.",controllers
A route sets `controller: ...\\RedirectController` (class only) and the request errors. What is missing?,"RedirectController is not invokable; reference ::redirectAction (route) or ::urlRedirectAction (URL)<br><br>Unlike TemplateController, RedirectController has no __invoke; you must pick the matching action — redirectAction for a route target, urlRedirectAction for a path/URL target.",controllers
A RedirectController route sets `permanent: true` and `keepRequestMethod: true`. What status does it return?,308 Permanent Redirect (permanent + method-preserving)<br><br>permanent alone gives 301; adding keepRequestMethod upgrades it to 308 so the HTTP method (e.g. POST) is preserved across the permanent redirect.,controllers
Which interface does a custom value resolver implement in Symfony 8?,"ValueResolverInterface (resolve(Request, ArgumentMetadata): iterable)<br><br>The split supports()/resolve() interface was removed; resolve() now returns an iterable and yielding nothing declines the argument.",controllers
How does a value resolver signal that it does not handle an argument?,It yields nothing (returns an empty iterable)<br><br>Yielding no value passes the argument to the next resolver in priority order.,controllers
Which resolvers have the highest default priority (120) in Symfony 8?,"RequestValueResolver and SessionValueResolver<br><br>Request and Session resolvers run first at priority 120; the attribute, enum, uid and datetime resolvers sit at 100.",controllers
A #[MapRequestPayload] argument fails validation. Which status is thrown?,422 Unprocessable Entity (400 if the body itself is malformed)<br><br>RequestPayloadValueResolver deserializes then validates; validation errors throw UnprocessableEntityHttpException (422).,controllers
How do the #[MapRequestPayload]/#[MapQueryParameter] resolvers get activated?,They are targeted resolvers that run only when their attribute is present on the argument<br><br>These resolvers carry the controller.targeted_value_resolver tag and are invoked only for arguments bearing the matching attribute.,controllers
What binds a single typed query parameter such as ?page=2 to an int argument?,#[MapQueryParameter]<br><br>#[MapQueryParameter] binds one query value with casting; #[MapQueryString] maps the whole query string into a DTO.,controllers
"In a custom resolver, an argument's type does not match. What should `resolve()` do to decline it correctly?","return []; (yield nothing) so the next resolver handles it<br><br>resolve() is typed `: iterable`, so `return null` is a TypeError and `return false` is invalid. Decline by returning an empty array (or a generator that never yields).",controllers
"In a resolver, what is the difference between yielding nothing and `yield null`?",Yielding nothing declines (next resolver runs); yield null binds a real null value to a nullable parameter<br><br>&#x27;Yields nothing&#x27; means &#x27;not my argument&#x27; and passes control on; &#x27;yield null&#x27; is a deliberate null bound to the parameter. Confusing them is the classic resolver bug.,controllers
"Which tag registers a resolver in the ordered chain, and how is its order controlled?",controller.argument_value_resolver with an optional priority (higher runs first); autoconfigure adds it automatically<br><br>Chain resolvers are tagged controller.argument_value_resolver; a higher priority runs earlier. Autoconfiguration tags implementing classes; set an explicit priority only when ordering matters (targeted resolvers use the controller.targeted_value_resolver tag instead).,controllers
"Which resolvers/attributes are targeted (activated only by their attribute), not part of the priority chain? (choose 3)","#[MapRequestPayload] / #[MapQueryString] (RequestPayloadValueResolver) ; #[MapQueryParameter] (QueryParameterValueResolver) ; #[MapUploadedFile] (RequestPayloadValueResolver)<br><br>MapRequestPayload/MapQueryString, MapQueryParameter, MapUploadedFile (and #[CurrentUser]) are targeted resolvers, run only when the attribute is present. RequestValueResolver is a priority-120 chain resolver, not targeted.",controllers
An action needs the authenticated user injected as an argument (not via $this->getUser()). Which attribute does this?,"#[CurrentUser] User $user (resolved by UserValueResolver from security)<br><br>#[CurrentUser] injects the authenticated user via the security UserValueResolver. MapRequestPayload builds a DTO from the body, MapEntity is Doctrine (out of scope), and Autowire is for services.",controllers
A resolver copied from an old project implements `ArgumentValueResolverInterface` with supports()+resolve() and no longer works in Symfony 8. Why?,"ArgumentValueResolverInterface was removed; implement ValueResolverInterface with a single resolve(): iterable<br><br>The split supports()/resolve() interface no longer exists in Symfony 8. Use ValueResolverInterface::resolve(Request, ArgumentMetadata): iterable and decline by yielding nothing instead of a supports() check.",controllers
Is #[MapEntity] a core HttpKernel value resolver you should study for this syllabus area?,"No — #[MapEntity] is a DoctrineBundle feature, not a core HttpKernel resolver<br><br>#[MapEntity] belongs to DoctrineBundle and is out of scope for the core HttpKernel resolver chain. The core built-ins are Request/Session (120), BackedEnum/Uid/DateTime/RequestAttribute (100), plus the targeted mapping attributes and #[CurrentUser].",controllers
Why are Symfony services private by default?,"So the compiler can inline/remove them and to enforce proper dependency injection<br><br>Private services can be inlined into their single consumer and pruned when unreferenced, shrinking the compiled container, and it discourages the service-locator anti-pattern of pulling from the container.",dependency-injection
Calling $container->get() on a private service id results in what?,A ServiceNotFoundException<br><br>Private services are not fetchable by id from the public container; they may only be injected. Fetching one throws ServiceNotFoundException.,dependency-injection
What is written to var/cache/prod/ after compilation?,"A dumped, optimised PHP container class produced by PhpDumper<br><br>PhpDumper writes a compiled PHP class with a method per service; the runtime uses it directly, never the ContainerBuilder.",dependency-injection
"Which objects exist only at build time, not at runtime? (choose one)","Definition, Reference, Alias and Parameter metadata objects<br><br>Definition/Reference/Alias/Parameter are build-time recipes held by the ContainerBuilder; the runtime container holds instances.",dependency-injection
True or False: a service being public and a service being shared mean the same thing.,"False<br><br>They are independent flags. Public means fetchable by id via get(); shared means the same instance is reused across get() calls. The default service is private and shared. A common trap confuses the two — a service can be public and non-shared, or private and shared, in any combination.",dependency-injection
A service is defined with shared: false. What happens on repeated $container->get() calls for it?,"A brand-new instance is returned on every call<br><br>shared defaults to true, so the first get() builds and caches the instance and later calls return the same object. shared: false disables caching, so the container rebuilds the service on every request. This is orthogonal to public/private — the misconception is thinking non-shared implies private.",dependency-injection
"A developer calls $this->container->get(MailerInterface::class) inside a service and gets a ServiceNotFoundException, even though the mailer works elsewhere. Why?","MailerInterface resolves to a private service, which is not fetchable by id — inject it via the constructor instead<br><br>The mailer service is private (the default), so it can only be injected, not fetched by id from the public container — get() therefore throws. The fix is constructor injection/autowiring, not making it public. It is registered and the container is compiled; the misconception is treating get() as a general-purpose lookup instead of using DI.",dependency-injection
Which sequence correctly describes container compilation?,"ContainerBuilder::compile() runs the PassConfig passes, freezes parameters, then PhpDumper writes the cached class<br><br>compile() executes the passes in PassConfig phase order, then freezes the parameter bag (making it a FrozenParameterBag), then PhpDumper writes the optimised class to var/cache. It all happens at build time; nothing about compilation is deferred to runtime, which is the key misconception.",dependency-injection
How should you access the current request inside a service?,"Inject RequestStack and call getCurrentRequest()<br><br>The Request is per-cycle and can change across sub-requests, so it is not injectable directly. Inject RequestStack and read the current request.",dependency-injection
Which command lists what a given type-hint autowires to?,debug:autowiring<br><br>debug:autowiring shows the types you can type-hint and which service each resolves to; debug:container inspects a definition by id.,dependency-injection
"By default, debug:container hides which services?",Private services (shown only with --show-private)<br><br>debug:container lists public services and aliases; add --show-private to include private ones.,dependency-injection
A service injects RequestStack and calls $this->requestStack->getCurrentRequest()->getLocale(); it fatals when run from a console command. Why?,"getCurrentRequest() returns null when there is no active request (e.g. CLI), so use the nullsafe operator ?-><br><br>Outside the HTTP cycle (console commands, Messenger workers) there is no current request, so getCurrentRequest() returns null and the method call fatals. Guard with getCurrentRequest()?-&gt;getLocale() or an early null check. RequestStack is autowirable everywhere; the trap is assuming a request always exists.",dependency-injection
"For the router, which statement about id, class and autowiring alias is correct?","The id is 'router', the class is a concrete Router, and an Alias maps RouterInterface to the id<br><br>These are three distinct keys. FrameworkExtension registers the service under the id &#x27;router&#x27; with a concrete class, then adds an autowiring alias from the interface FQCN (RouterInterface) to that id so type-hints resolve. debug:autowiring lists those aliases; debug:container inspects the id.",dependency-injection
Which are correct ways to obtain framework services in your code? (choose 2),"Autowire by type-hinting the interface, e.g. LoggerInterface ; Use debug:autowiring to discover which type resolves to which service<br><br>Autowiring by interface is the idiomatic path, and debug:autowiring is the discovery tool for finding the right type-hint. A raw Request cannot be injected (use RequestStack), and pulling services with $container-&gt;get() in business code is the service-locator anti-pattern.",dependency-injection
When is %env(DATABASE_URL)% resolved?,"At runtime, via an env-var processor<br><br>Env placeholders resolve at runtime so a single compiled container works across environments; parameters (%x%) are frozen at compile time.",dependency-injection
What does the expression %env(int:MAX)% produce?,The value of MAX cast to an integer<br><br>The int: processor casts the raw env string to an integer. Processors chain right-to-left.,dependency-injection
Which attribute injects the container parameter app.name into a constructor argument?,"#[Autowire(param: 'app.name')]<br><br>param: names a container parameter; a bare string without %% is a literal, and env: reads an environment variable.",dependency-injection
How do you write a literal percent sign inside a parameter value?,Double it: %%<br><br>A doubled percent escapes to a single literal % so it is not treated as a parameter reference.,dependency-injection
What does %env(int:default:app.timeout:TIMEOUT)% do?,"Reads TIMEOUT, falls back to the app.timeout parameter when unset, then casts the result to int<br><br>Env processors chain right-to-left. The innermost segment reads the env var TIMEOUT; default:app.timeout supplies the app.timeout parameter as a fallback when TIMEOUT is unset; int: then casts the resolved value. The misconception is reading it left-to-right, which inverts the meaning.",dependency-injection
"A constructor arg is #[Autowire('%env(MAX)%')] int $max, but you hit a type error because a string was passed. What is wrong?","%env(MAX)% yields a string; add a cast processor: %env(int:MAX)%<br><br>Raw env values are always strings until a processor casts them, so %env(MAX)% is a string while the argument expects int. Use %env(int:MAX)%. #[Autowire] fully supports env placeholders and no prior parameter declaration is needed; the trap is assuming env values are already typed.",dependency-injection
"After ContainerBuilder::compile(), what happens to the parameter bag?","It becomes a read-only FrozenParameterBag<br><br>During build the ContainerBuilder uses a mutable ParameterBag; compile() freezes it into a FrozenParameterBag, after which parameters are read-only. This is why parameters are compile-time constants — the misconception is expecting to mutate parameters at runtime.",dependency-injection
What does ParameterBagInterface::get('app.missing') do for an undefined parameter?,Throws ParameterNotFoundException — use has() first for optional lookups<br><br>Reading a missing parameter throws ParameterNotFoundException; it never returns null. Guard optional lookups with has() before get(). The common bug is assuming an absent parameter silently becomes null.,dependency-injection
True or False: environment variables referenced with %env(...)% are frozen into the compiled container cache at compile time.,"False<br><br>The compiler replaces %env(...)% with a placeholder and the EnvVarProcessor resolves it at runtime, which is exactly why one compiled container works across environments and changing an env var needs no cache rebuild. Only plain parameters (%x%) are frozen at compile time.",dependency-injection
"Using the App\: resource glob, what is a service's id?",Its fully-qualified class name (FQCN)<br><br>PSR-4 auto-registration creates one definition per class using the FQCN as the service id.,dependency-injection
What does autoconfigure: true do (as opposed to autowire)?,Applies tags/flags based on implemented interfaces and attributes<br><br>Autoconfigure adds tags automatically (e.g. event subscriber); autowire is the separate flag that fills arguments by type.,dependency-injection
How do you make an interface type-hint resolve to a concrete class?,"Define an alias, e.g. Interface: '@Class'<br><br>An alias from the interface id to the concrete service lets autowiring resolve the interface type-hint.",dependency-injection
"Given _defaults with autowire: true, autoconfigure: true, public: false and an App\: resource glob, what is true of a class under src/?","It is registered private, with arguments autowired by type and tags applied by interface<br><br>_defaults sets the baseline: public: false makes it private, autowire fills constructor arguments by type, and autoconfigure applies tags based on implemented interfaces. The id is the FQCN. The glob registers every class in the directory, not just annotated ones.",dependency-injection
"The App\: glob registers a class, and a later named block redefines the same id. Which definition wins?","The later, more specific block overrides the glob for that id<br><br>Registration order matters: the glob first registers everything, then a later, more specific entry for the same id overrides it. This is the idiomatic way to tweak one autowired service. It is not an error and the glob does not win.",dependency-injection
"Which argument cannot be supplied by autowiring and must come from bind, #[Autowire], or a parameter?","A scalar string such as a directory path<br><br>Autowiring resolves objects by type-hint; it can never guess scalars (strings, ints, arrays). Those must be bound explicitly via bind, #[Autowire], or a parameter. Objects, aliases, and single implementations all autowire fine.",dependency-injection
You add the alias App\Report\ReporterInterface: '@App\Report\Missing' but the target service does not exist. What happens?,"A compile-time error — an alias to a non-existent target breaks the build; it is not a silent null<br><br>An alias must point at an existing service id; a dangling alias fails the container build. Optional dependencies use nullable constructor args or NULL_ON_INVALID_REFERENCE, not a broken alias. The misconception is expecting a missing target to become null.",dependency-injection
"In a decorator definition, what does @.inner reference?","The original (decorated) service, renamed by the compiler<br><br>DecoratorServicePass renames the decorated service and exposes it as .inner so the decorator can delegate to it.",dependency-injection
Which attribute injects the decorated (inner) service into a decorator?,#[AutowireDecorated]<br><br>#[AsDecorator] declares the decoration; #[AutowireDecorated] resolves the parameter to the .inner service.,dependency-injection
"With two decorators on one id, a higher decoration_priority means the decorator is...","Applied first and sits closer to the original (innermost)<br><br>Higher priority decorators are applied first and end up innermost; consumers receive the lowest-priority, outermost decorator.",dependency-injection
decoration_on_invalid: ignore does what when the decorated service is missing?,Removes the decorator entirely<br><br>ignore drops the decorator; null would inject null; exception (the default) throws when the target is absent.,dependency-injection
Two decorators target the same service. You need caching wrapped directly around the original and logging on the outside so consumers hit logging first. How do you set decoration_priority?,"Caching gets the higher priority (e.g. 20), logging the lower (e.g. 10)<br><br>Higher decoration_priority is applied first and ends up innermost (closest to the original), so caching needs the higher number to sit directly around the original, and logging the lower number to become the outermost wrapper consumers hit first. Assuming lower priority runs first inverts the chain.",dependency-injection
A decorator injects the service by its own (decorated) id instead of .inner and hits infinite recursion. What is the fix?,"Inject @.inner (or use #[AutowireDecorated]) to reference the renamed original<br><br>Because the decorator takes over the decorated service&#x27;s public id, referencing that id inside the decorator injects the decorator itself, causing infinite recursion. You must reference the renamed original via .inner or #[AutowireDecorated]. Visibility and priority are unrelated to the loop.",dependency-injection
"decoration_on_invalid: null is set, but .inner is typed as non-nullable MailerInterface and the decorated target is absent. What happens?","A TypeError — null is injected as .inner but the non-nullable argument rejects it; type it ?MailerInterface and guard with ?-><br><br>With null, the compiler injects null as .inner; if the argument type is not nullable this becomes a TypeError at instantiation. The fix is a nullable type (?MailerInterface) and nullsafe delegation. ignore (not null) is what removes the decorator; exception is the default that throws at build.",dependency-injection
What does a tagged_locator argument inject?,"A lazy ServiceLocator keyed by an index<br><br>tagged_locator injects a ServiceLocator that instantiates services on demand, keyed by the configured index; tagged_iterator yields instances.",dependency-injection
A higher priority on a tag places the service where in the tagged iterator?,"Earlier (tagged collections are sorted by descending priority)<br><br>Tagged services are ordered by descending priority, so higher priority comes first.",dependency-injection
How can every implementation of an interface receive a tag automatically?,Use #[AutoconfigureTag] on the interface or _instanceof in YAML<br><br>Autoconfiguration maps an interface to a tag so all implementers are tagged without manual annotation.,dependency-injection
What is the key difference between tagged_iterator and tagged_locator?,"tagged_iterator yields already-instantiated services; tagged_locator gives a lazy ServiceLocator built on get()<br><br>tagged_iterator injects an iterable of instances (use it when you always iterate all of them), while tagged_locator injects a ServiceLocator that builds each service lazily on get() and is keyed for pick-one-of-many. The trap is swapping their laziness.",dependency-injection
How is the key of each tagged_locator entry determined?,"From an index_by tag attribute, a default_index_method static method (e.g. getName), or #[AsTaggedItem(index:)]<br><br>The locator key comes from the index_by tag attribute, a static method named by default_index_method (commonly getName/getDefaultIndexName), or an #[AsTaggedItem(index:)] attribute — not the service id by default. If two services resolve to the same key, the later one silently overwrites the earlier.",dependency-injection
"True or False: adding a tag to a service changes its behaviour automatically, even with no collector consuming that tag.",False<br><br>A tag is inert build-time metadata; on its own it does nothing. Something — a tagged_iterator/tagged_locator argument or a compiler pass calling findTaggedServiceIds() — must consume the tag for it to have any effect.,dependency-injection
What does #[AutowireIterator('app.handler')] on an iterable $handlers argument inject?,"An iterable of all app.handler-tagged services, ordered by descending priority<br><br>#[AutowireIterator] is the attribute form of tagged_iterator: it injects an iterable of the instantiated tagged services, ordered by descending priority. #[AutowireLocator] would give the lazy keyed locator; the attribute does not filter down to one service.",dependency-injection
Which class validates and defaults a bundle's configuration schema?,"Configuration, via a TreeBuilder<br><br>Configuration defines allowed keys, types, defaults and validation; Extension::load() only consumes the processed result.",dependency-injection
When does prepend() run relative to the extensions' load() calls?,Before all load() calls<br><br>Prepend runs first so a bundle can inject default configuration into other bundles before they load.,dependency-injection
Which command prints a bundle's configuration reference tree?,config:dump-reference<br><br>config:dump-reference dumps the schema defined by Configuration; debug:config shows the currently resolved values.,dependency-injection
